company,ticker,market_data_date,share_price,market_cap_inr_cr,enterprise_value_inr_cr,shares_outstanding_cr,beta,risk_free_rate,source_price,source_market_cap,source_ev,source_beta,source_risk_free_rate,refresh_status,next_action
Hero MotoCorp,HEROMOTOCO.NS,2026-05-02 01:31 UTC,5099.0,102245.87,92076.49,20.009,0.638,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Fiem Industries,FIEMIND.NS,2026-05-02 01:31 UTC,2182.7,5728.47,5534.64,2.632,0.483,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Triveni Turbine,TRITURBINE.NS,2026-05-02 01:31 UTC,573.25,18240.81,17312.52,31.7895,0.149,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
NALCO,NATIONALUM.NS,2026-05-02 01:31 UTC,399.3,72611.24,65445.97,183.6632,0.715,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Sharda Cropchem,SHARDACROP.NS,2026-05-02 01:31 UTC,1072.75,9680.66,8897.61,9.022,0.6,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Time Technoplast,TIMETECHNO.NS,2026-05-02 01:31 UTC,193.01,9588.87,9328.2,49.3635,0.287,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Bharat Electronics,BEL.NS,2026-05-02 01:31 UTC,431.3,315636.24,307267.71,730.9779,0.313,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Polycab India,POLYCAB.NS,2026-05-02 01:31 UTC,8110.5,121772.78,119304.67,15.0551,0.548,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
SJS Enterprises,SJS.NS,2026-05-02 01:31 UTC,1808.8,5805.5,5615.33,3.1997,0.301,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Shilchar Technologies,SHILCTECH.NS,2026-05-02 01:31 UTC,5160.6,5917.21,5730.65,1.144,-0.533,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,2026-05-02 01:31 UTC,2043.4,32911.32,31463.26,16.0559,-0.003,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
Gravita India,GRAVITA.NS,2026-05-02 01:31 UTC,1630.0,11849.84,11466.44,7.2833,0.172,TBD - update with India 10Y G-sec on same data date,Yahoo Finance last available close,Yahoo Finance marketCap,Yahoo Finance enterpriseValue,Yahoo Finance beta,Manual India 10Y G-sec input required,Auto-filled; manual review required,"Review Yahoo data, add India 10Y G-sec, and lock common data date"
