company,company_ticker,peer_bucket,peer_company,peer_ticker,screener_url,notes,market_data_date,market_cap_inr_cr,enterprise_value_inr_cr,revenue_inr_cr,ebitda_inr_cr,pat_inr_cr,ev_sales,ev_ebitda,pe,pb,roe,roce,source,refresh_status,parse_notes,http_status,yahoo_ticker,ev_pb_refresh_date,yahoo_market_cap_inr_cr,yahoo_enterprise_value_inr_cr,yahoo_price_to_book,yahoo_trailing_pe,yahoo_forward_pe,yahoo_refresh_status,yahoo_parse_note,true_ev_sales_yahoo_screener,true_ev_ebitda_yahoo_screener,final_pb,final_ev_source,final_pb_source
Hero MotoCorp,HEROMOTOCO.NS,Two-wheeler / auto OEM,Bajaj Auto,BAJAJ-AUTO,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,Core listed two-wheeler peer,2026-05-02 08:01 UTC,279330,TBD,57719,11709,8884,4.84,23.86,31.2,TBD,22.8,28.1,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,Fetched; manual review required,Missing: pb,200,BAJAJ-AUTO.NS,2026-05-02 08:03 UTC,280335.61,292093.87,8.2,31.59,25.32,Fetched; manual review required,Fetched core Yahoo EV/PB fields,5.06,24.95,8.2,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Hero MotoCorp,HEROMOTOCO.NS,Two-wheeler / auto OEM,TVS Motor,TVSMOTOR,https://www.screener.in/company/TVSMOTOR/consolidated/,Core listed two-wheeler peer,2026-05-02 08:01 UTC,165943,TBD,52559,8084,3064,3.16,20.53,56.9,TBD,28.4,15.4,https://www.screener.in/company/TVSMOTOR/consolidated/,Fetched; manual review required,Missing: pb,200,TVSMOTOR.NS,2026-05-02 08:03 UTC,165949.0,193094.2,49.66,57.45,37.82,Fetched; manual review required,Fetched core Yahoo EV/PB fields,3.67,23.89,49.66,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Hero MotoCorp,HEROMOTOCO.NS,Two-wheeler / auto OEM,Eicher Motors,EICHERMOT,https://www.screener.in/company/EICHERMOT/consolidated/,Premium two-wheeler and CV peer,2026-05-02 08:01 UTC,195010,TBD,22569,5529,5357,8.64,35.27,36.1,TBD,24.1,29.8,https://www.screener.in/company/EICHERMOT/consolidated/,Fetched; manual review required,Missing: pb,200,EICHERMOT.NS,2026-05-02 08:03 UTC,195037.4,190576.62,8.83,36.5,30.89,Fetched; manual review required,Fetched core Yahoo EV/PB fields,8.44,34.47,8.83,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Fiem Industries,FIEMIND.NS,Auto components / lighting,Lumax Industries,LUMAXIND,https://www.screener.in/company/LUMAXIND/consolidated/,Auto lighting peer,2026-05-02 08:01 UTC,4760,TBD,3907,360,162,1.22,13.22,27.3,TBD,19.3,16.4,https://www.screener.in/company/LUMAXIND/consolidated/,Fetched; manual review required,Missing: pb,200,LUMAXIND.NS,2026-05-02 08:03 UTC,4766.41,5738.18,5.84,29.37,20.92,Fetched; manual review required,Fetched core Yahoo EV/PB fields,1.47,15.94,5.84,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Fiem Industries,FIEMIND.NS,Auto components / lighting,Uno Minda,UNOMINDA,https://www.screener.in/company/UNOMINDA/consolidated/,Auto components peer,2026-05-02 08:01 UTC,64238,TBD,18850,2175,1222,3.41,29.53,55.5,TBD,17.5,18.8,https://www.screener.in/company/UNOMINDA/consolidated/,Fetched; manual review required,Missing: pb,200,UNOMINDA.NS,2026-05-02 08:03 UTC,64324.79,67006.75,10.3,56.58,42.11,Fetched; manual review required,Fetched core Yahoo EV/PB fields,3.55,30.81,10.3,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Fiem Industries,FIEMIND.NS,Auto components / lighting,Minda Corporation,MINDACORP,https://www.screener.in/company/MINDACORP/consolidated/,Auto components peer,2026-05-02 08:01 UTC,21265,TBD,5056,633,251,4.21,33.6,77.0,TBD,15.3,17.4,https://www.screener.in/company/MINDACORP/consolidated/,Fetched; manual review required,Missing: pb,200,MINDACORP.NS,2026-05-02 08:03 UTC,21263.25,21758.53,6.16,78.52,72.92,Fetched; manual review required,Fetched core Yahoo EV/PB fields,4.3,34.37,6.16,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Fiem Industries,FIEMIND.NS,Auto components / lighting,Pricol,PRICOLLTD,https://www.screener.in/company/PRICOLLTD/consolidated/,Automotive components peer,2026-05-02 08:01 UTC,5617,TBD,2772,328,210,2.03,17.12,37.8,TBD,17.6,17.8,https://www.screener.in/company/PRICOLLTD/consolidated/,Fetched; manual review required,Missing: pb,200,PRICOLLTD.NS,2026-05-02 08:03 UTC,5617.54,5743.75,5.6,26.84,29.69,Fetched; manual review required,Fetched core Yahoo EV/PB fields,2.07,17.51,5.6,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Triveni Turbine,TRITURBINE.NS,Capital goods / turbines,Thermax,THERMAX,https://www.screener.in/company/THERMAX/consolidated/,Capital goods peer,2026-05-02 08:01 UTC,46179,TBD,11582,1254,811,3.99,36.83,83.7,TBD,14.9,18.4,https://www.screener.in/company/THERMAX/consolidated/,Fetched; manual review required,Missing: pb,200,THERMAX.NS,2026-05-02 08:03 UTC,46175.89,47384.88,10.1,85.91,83.31,Fetched; manual review required,Fetched core Yahoo EV/PB fields,4.09,37.79,10.1,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Triveni Turbine,TRITURBINE.NS,Capital goods / turbines,TD Power Systems,TDPOWERSYS,https://www.screener.in/company/TDPOWERSYS/consolidated/,Generator/electrical machinery peer,2026-05-02 08:01 UTC,8213,TBD,1566,300,210,5.24,27.38,39.1,TBD,23.5,32.2,https://www.screener.in/company/TDPOWERSYS/consolidated/,Fetched; manual review required,Missing: pb,200,TDPOWERSYS.NS,2026-05-02 08:03 UTC,8215.07,8201.37,9.17,39.16,32.65,Fetched; manual review required,Fetched core Yahoo EV/PB fields,5.24,27.34,9.17,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Triveni Turbine,TRITURBINE.NS,Capital goods / turbines,Siemens India,SIEMENS,https://www.screener.in/company/SIEMENS/consolidated/,Large electrical capital goods peer,2026-05-02 08:01 UTC,110809,TBD,17337,2020,1588,6.39,54.85,72.7,TBD,17.0,22.6,https://www.screener.in/company/SIEMENS/consolidated/,Fetched; manual review required,Missing: pb,200,SIEMENS.NS,2026-05-02 08:03 UTC,275557.33,TBD,14.6,90.77,56.94,Fetched; manual review required,Missing: yahoo_enterprise_value_inr_cr,TBD,TBD,14.6,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Triveni Turbine,TRITURBINE.NS,Capital goods / turbines,ABB India,ABB,https://www.screener.in/company/ABB/consolidated/,Large electrical capital goods peer,2026-05-02 08:01 UTC,120635,TBD,12995,1889,1458,9.28,63.86,81.2,TBD,18.9,23.5,https://www.screener.in/company/ABB/consolidated/,Fetched; manual review required,Missing: pb,200,ABB.NS,2026-05-02 08:03 UTC,120634.68,119595.3,23.82,81.35,62.36,Fetched; manual review required,Fetched core Yahoo EV/PB fields,9.2,63.31,23.82,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
NALCO,NATIONALUM.NS,Aluminium / commodity metals,Hindalco,HINDALCO,https://www.screener.in/company/HINDALCO/consolidated/,Aluminium peer,2026-05-02 08:01 UTC,184470,TBD,251900,37590,16613,0.73,4.91,12.9,TBD,14.3,15.9,https://www.screener.in/company/HINDALCO/consolidated/,Fetched; manual review required,Missing: pb,200,HINDALCO.NS,2026-05-02 08:03 UTC,184468.87,249834.21,1.48,12.88,11.66,Fetched; manual review required,Fetched core Yahoo EV/PB fields,0.99,6.65,1.48,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
NALCO,NATIONALUM.NS,Aluminium / commodity metals,Vedanta,VEDL,https://www.screener.in/company/VEDL/consolidated/,Diversified metals peer,2026-05-02 08:01 UTC,180076,TBD,161904,51425,20211,1.11,3.5,8.91,TBD,24.3,23.2,https://www.screener.in/company/VEDL/consolidated/,Fetched; manual review required,Missing: pb,200,VEDL.NS,2026-05-02 08:03 UTC,180078.74,251672.3,5.24,8.93,8.3,Fetched; manual review required,Fetched core Yahoo EV/PB fields,1.55,4.89,5.24,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
NALCO,NATIONALUM.NS,Aluminium / commodity metals,Hindustan Zinc,HINDZINC,https://www.screener.in/company/HINDZINC/consolidated/,Non-ferrous metals peer,2026-05-02 08:01 UTC,173964,TBD,34989,17229,10586,4.97,10.1,16.4,TBD,28.3,27.6,https://www.screener.in/company/HINDZINC/consolidated/,Fetched; manual review required,Missing: pb,200,HINDZINC.NS,2026-05-02 08:03 UTC,173963.9,181610.04,4.28,16.44,15.19,Fetched; manual review required,Fetched core Yahoo EV/PB fields,5.19,10.54,4.28,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
NALCO,NATIONALUM.NS,Aluminium / commodity metals,NMDC,NMDC,https://www.screener.in/company/NMDC/consolidated/,Metals/mining PSU peer,2026-05-02 08:01 UTC,67361,TBD,26775,6713,6619,2.52,10.03,11.4,TBD,18.3,22.9,https://www.screener.in/company/NMDC/consolidated/,Fetched; manual review required,Missing: pb,200,NMDC.NS,2026-05-02 08:03 UTC,67361.47,67685.4,2.55,11.42,11.03,Fetched; manual review required,Fetched core Yahoo EV/PB fields,2.53,10.08,2.55,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
